"","BOROUGH","NEIGHBORHOOD","TYPE.OF.HOME","NUMBER.OF.SALES","LOWEST.SALE.PRICE","AVERAGE.SALE.PRICE","MEDIAN.SALE.PRICE","HIGHEST.SALE.PRICE","YEAR","DISTRICT"
"1","Staten Island","ANNADALE","01 ONE FAMILY HOMES",111,250000,573312,495000,1540000,2005,"ANNADALE"
"2","Staten Island","ANNADALE","02 TWO FAMILY HOMES",43,2e+05,711431,715000,1300000,2005,"ANNADALE"
"3","Staten Island","ARDEN HEIGHTS","01 ONE FAMILY HOMES",294,151999,332964,320000,1400000,2005,"ARDEN HEIGHTS"
"4","Staten Island","ARDEN HEIGHTS","02 TWO FAMILY HOMES",26,304750,545092,531000,957155,2005,"ARDEN HEIGHTS"
"5","Staten Island","ARROCHAR","01 ONE FAMILY HOMES",19,175000,438456,367000,940000,2005,"ARROCHAR"
"6","Staten Island","ARROCHAR","02 TWO FAMILY HOMES",12,290000,506042,505000,665000,2005,"ARROCHAR"
"7","Staten Island","ARROCHAR-SHORE ACRES","01 ONE FAMILY HOMES",9,3e+05,421630,360000,675000,2005,"ARROCHAR-SHORE ACRES"
"8","Staten Island","ARROCHAR-SHORE ACRES","02 TWO FAMILY HOMES",9,414000,548726,476000,8e+05,2005,"ARROCHAR-SHORE ACRES"
"9","Staten Island","BLOOMFIELD","02 TWO FAMILY HOMES",1,1600000,1600000,1600000,1600000,2005,"BLOOMFIELD"
"10","Staten Island","BULLS HEAD","01 ONE FAMILY HOMES",144,183500,373421,366541,7e+05,2005,"BULLS HEAD"
"11","Staten Island","BULLS HEAD","02 TWO FAMILY HOMES",80,156356,470111,450000,734000,2005,"BULLS HEAD"
"12","Staten Island","BULLS HEAD","03 THREE FAMILY HOMES",5,375000,437300,410000,524000,2005,"BULLS HEAD"
"13","Staten Island","CASTLETON CORNERS","01 ONE FAMILY HOMES",101,151570,441898,440000,837500,2005,"CASTLETON CORNERS"
"14","Staten Island","CASTLETON CORNERS","02 TWO FAMILY HOMES",24,2e+05,467900,477000,765000,2005,"CASTLETON CORNERS"
"15","Staten Island","CLOVE LAKES","01 ONE FAMILY HOMES",57,158000,494924,461370,985000,2005,"CLOVE LAKES"
"16","Staten Island","CLOVE LAKES","02 TWO FAMILY HOMES",13,163500,519902,544763,1150000,2005,"CLOVE LAKES"
"17","Staten Island","CONCORD","01 ONE FAMILY HOMES",112,150000,285375,271475,525000,2005,"CONCORD"
"18","Staten Island","CONCORD","02 TWO FAMILY HOMES",26,292500,389680,378150,600767,2005,"CONCORD"
"19","Staten Island","CONCORD","03 THREE FAMILY HOMES",1,306000,306000,306000,306000,2005,"CONCORD"
"20","Staten Island","CONCORD-FOX HILLS","01 ONE FAMILY HOMES",28,185000,278215,277500,428000,2005,"CONCORD-FOX HILLS"
"21","Staten Island","DONGAN HILLS","01 ONE FAMILY HOMES",54,3e+05,478129,435000,860000,2005,"DONGAN HILLS"
"22","Staten Island","DONGAN HILLS","02 TWO FAMILY HOMES",14,285000,579464,593000,715000,2005,"DONGAN HILLS"
"23","Staten Island","DONGAN HILLS","03 THREE FAMILY HOMES",1,499000,499000,499000,499000,2005,"DONGAN HILLS"
"24","Staten Island","DONGAN HILLS-COLONY","01 ONE FAMILY HOMES",28,2e+05,762250,7e+05,1450000,2005,"DONGAN HILLS-COLONY"
"25","Staten Island","DONGAN HILLS-COLONY","02 TWO FAMILY HOMES",5,445000,524800,511500,610000,2005,"DONGAN HILLS-COLONY"
"26","Staten Island","DONGAN HILLS-COLONY","03 THREE FAMILY HOMES",2,560000,605000,605000,650000,2005,"DONGAN HILLS-COLONY"
"27","Staten Island","DONGAN HILLS-OLD TOWN","01 ONE FAMILY HOMES",4,250000,366228,369167,476580,2005,"DONGAN HILLS-OLD TOWN"
"28","Staten Island","DONGAN HILLS-OLD TOWN","02 TWO FAMILY HOMES",3,250000,437860,529000,534581,2005,"DONGAN HILLS-OLD TOWN"
"29","Staten Island","ELTINGVILLE","01 ONE FAMILY HOMES",199,159650,450687,435000,925000,2005,"ELTINGVILLE"
"30","Staten Island","ELTINGVILLE","02 TWO FAMILY HOMES",52,175300,577701,572500,875000,2005,"ELTINGVILLE"
"31","Staten Island","EMERSON HILL","01 ONE FAMILY HOMES",10,387500,800200,866250,1100000,2005,"EMERSON HILL"
"32","Staten Island","EMERSON HILL","02 TWO FAMILY HOMES",1,665000,665000,665000,665000,2005,"EMERSON HILL"
"33","Staten Island","FRESH KILLS","01 ONE FAMILY HOMES",1,410000,410000,410000,410000,2005,"FRESH KILLS"
"34","Staten Island","GRANT CITY","01 ONE FAMILY HOMES",63,294060,454744,417500,9e+05,2005,"GRANT CITY"
"35","Staten Island","GRANT CITY","02 TWO FAMILY HOMES",17,3e+05,585739,560000,8e+05,2005,"GRANT CITY"
"36","Staten Island","GRASMERE","01 ONE FAMILY HOMES",65,3e+05,489530,440000,950000,2005,"GRASMERE"
"37","Staten Island","GRASMERE","02 TWO FAMILY HOMES",9,4e+05,541354,469900,750000,2005,"GRASMERE"
"38","Staten Island","GREAT KILLS","01 ONE FAMILY HOMES",436,160000,463729,420810,7e+06,2005,"GREAT KILLS"
"39","Staten Island","GREAT KILLS","02 TWO FAMILY HOMES",146,150000,544355,540750,1150000,2005,"GREAT KILLS"
"40","Staten Island","GREAT KILLS","03 THREE FAMILY HOMES",4,380000,415000,415000,450000,2005,"GREAT KILLS"
"41","Staten Island","GREAT KILLS-BAY TERRACE","01 ONE FAMILY HOMES",38,262000,457913,435000,650000,2005,"GREAT KILLS-BAY TERRACE"
"42","Staten Island","GREAT KILLS-BAY TERRACE","02 TWO FAMILY HOMES",10,430000,582535,568500,772851,2005,"GREAT KILLS-BAY TERRACE"
"43","Staten Island","GRYMES HILL","01 ONE FAMILY HOMES",22,261000,616364,490750,1300000,2005,"GRYMES HILL"
"44","Staten Island","GRYMES HILL","02 TWO FAMILY HOMES",8,340000,412813,355000,607500,2005,"GRYMES HILL"
"45","Staten Island","HUGUENOT","01 ONE FAMILY HOMES",54,325000,587888,549650,1025000,2005,"HUGUENOT"
"46","Staten Island","HUGUENOT","02 TWO FAMILY HOMES",39,211000,719097,707000,1135000,2005,"HUGUENOT"
"47","Staten Island","LIVINGSTON","01 ONE FAMILY HOMES",19,265000,384874,4e+05,485000,2005,"LIVINGSTON"
"48","Staten Island","LIVINGSTON","02 TWO FAMILY HOMES",9,293620,379847,375000,450000,2005,"LIVINGSTON"
"49","Staten Island","MANOR HEIGHTS","01 ONE FAMILY HOMES",86,2e+05,478990,430000,1480000,2005,"MANOR HEIGHTS"
"50","Staten Island","MANOR HEIGHTS","02 TWO FAMILY HOMES",27,360000,533326,525000,680000,2005,"MANOR HEIGHTS"
"51","Staten Island","MARINERS HARBOR","01 ONE FAMILY HOMES",240,150000,309025,303186,550000,2005,"MARINERS HARBOR"
"52","Staten Island","MARINERS HARBOR","02 TWO FAMILY HOMES",97,175000,389365,4e+05,565128,2005,"MARINERS HARBOR"
"53","Staten Island","MARINERS HARBOR","03 THREE FAMILY HOMES",3,350000,425000,4e+05,525000,2005,"MARINERS HARBOR"
"54","Staten Island","MIDLAND BEACH","01 ONE FAMILY HOMES",184,150000,375451,395000,8e+05,2005,"MIDLAND BEACH"
"55","Staten Island","MIDLAND BEACH","02 TWO FAMILY HOMES",27,206000,477182,499000,7e+05,2005,"MIDLAND BEACH"
"56","Staten Island","MIDLAND BEACH","03 THREE FAMILY HOMES",3,750000,858333,875000,950000,2005,"MIDLAND BEACH"
"57","Staten Island","NEW BRIGHTON","01 ONE FAMILY HOMES",70,150000,353694,338570,7e+05,2005,"NEW BRIGHTON"
"58","Staten Island","NEW BRIGHTON","02 TWO FAMILY HOMES",123,191000,371000,370819,1300000,2005,"NEW BRIGHTON"
"59","Staten Island","NEW BRIGHTON","03 THREE FAMILY HOMES",24,215000,556167,392125,4223000,2005,"NEW BRIGHTON"
"60","Staten Island","NEW BRIGHTON-ST. GEORGE","02 TWO FAMILY HOMES",2,999000,2249500,2249500,3500000,2005,"NEW BRIGHTON-ST. GEORGE"
"61","Staten Island","NEW BRIGHTON-ST. GEORGE","03 THREE FAMILY HOMES",1,5e+05,5e+05,5e+05,5e+05,2005,"NEW BRIGHTON-ST. GEORGE"
"62","Staten Island","NEW DORP","01 ONE FAMILY HOMES",92,183334,454107,447500,804417,2005,"NEW DORP"
"63","Staten Island","NEW DORP","02 TWO FAMILY HOMES",32,3e+05,589555,555000,910000,2005,"NEW DORP"
"64","Staten Island","NEW DORP","03 THREE FAMILY HOMES",2,507000,563500,563500,620000,2005,"NEW DORP"
"65","Staten Island","NEW DORP-BEACH","01 ONE FAMILY HOMES",62,150000,364336,379500,601675,2005,"NEW DORP-BEACH"
"66","Staten Island","NEW DORP-BEACH","02 TWO FAMILY HOMES",23,177500,464718,515000,773870,2005,"NEW DORP-BEACH"
"67","Staten Island","NEW DORP-HEIGHTS","01 ONE FAMILY HOMES",43,169000,478876,439000,1290000,2005,"NEW DORP-HEIGHTS"
"68","Staten Island","NEW DORP-HEIGHTS","02 TWO FAMILY HOMES",5,470000,674301,539672,916423,2005,"NEW DORP-HEIGHTS"
"69","Staten Island","NEW SPRINGVILLE","01 ONE FAMILY HOMES",132,195000,422138,409500,880000,2005,"NEW SPRINGVILLE"
"70","Staten Island","NEW SPRINGVILLE","02 TWO FAMILY HOMES",81,170000,812974,558000,12500000,2005,"NEW SPRINGVILLE"
"71","Staten Island","OAKWOOD","01 ONE FAMILY HOMES",35,357000,516461,468000,865512,2005,"OAKWOOD"
"72","Staten Island","OAKWOOD","02 TWO FAMILY HOMES",4,201000,408167,423334,585000,2005,"OAKWOOD"
"73","Staten Island","OAKWOOD-BEACH","01 ONE FAMILY HOMES",58,180000,413216,417362,750000,2005,"OAKWOOD-BEACH"
"74","Staten Island","OAKWOOD-BEACH","02 TWO FAMILY HOMES",6,2e+05,586045,682000,760000,2005,"OAKWOOD-BEACH"
"75","Staten Island","PLEASANT PLAINS","01 ONE FAMILY HOMES",34,175000,500918,466500,975000,2005,"PLEASANT PLAINS"
"76","Staten Island","PLEASANT PLAINS","02 TWO FAMILY HOMES",16,412000,798900,768750,1135000,2005,"PLEASANT PLAINS"
"77","Staten Island","PORT IVORY","01 ONE FAMILY HOMES",42,180000,291106,299950,395000,2005,"PORT IVORY"
"78","Staten Island","PORT IVORY","02 TWO FAMILY HOMES",11,294000,336250,323868,5e+05,2005,"PORT IVORY"
"79","Staten Island","PORT RICHMOND","01 ONE FAMILY HOMES",135,155000,346331,315000,3250000,2005,"PORT RICHMOND"
"80","Staten Island","PORT RICHMOND","02 TWO FAMILY HOMES",101,150000,374117,370000,565128,2005,"PORT RICHMOND"
"81","Staten Island","PORT RICHMOND","03 THREE FAMILY HOMES",2,368740,399020,399020,429300,2005,"PORT RICHMOND"
"82","Staten Island","PRINCES BAY","01 ONE FAMILY HOMES",55,180000,551862,510000,1350000,2005,"PRINCES BAY"
"83","Staten Island","PRINCES BAY","02 TWO FAMILY HOMES",47,269000,673491,600666,1090000,2005,"PRINCES BAY"
"84","Staten Island","RICHMONDTOWN","01 ONE FAMILY HOMES",49,250000,669402,620000,1603743,2005,"RICHMONDTOWN"
"85","Staten Island","RICHMONDTOWN","02 TWO FAMILY HOMES",1,625000,625000,625000,625000,2005,"RICHMONDTOWN"
"86","Staten Island","RICHMONDTOWN-LIGHTHS HILL","01 ONE FAMILY HOMES",7,211000,710857,685000,1075000,2005,"RICHMONDTOWN-LIGHTHS HILL"
"87","Staten Island","ROSEBANK","01 ONE FAMILY HOMES",108,150000,379467,369250,7e+05,2005,"ROSEBANK"
"88","Staten Island","ROSEBANK","02 TWO FAMILY HOMES",53,150000,462637,460000,794000,2005,"ROSEBANK"
"89","Staten Island","ROSEBANK","03 THREE FAMILY HOMES",4,315000,433875,464000,492500,2005,"ROSEBANK"
"90","Staten Island","ROSSVILLE","01 ONE FAMILY HOMES",72,166500,470139,382500,1310000,2005,"ROSSVILLE"
"91","Staten Island","ROSSVILLE","02 TWO FAMILY HOMES",38,190000,623641,658750,998000,2005,"ROSSVILLE"
"92","Staten Island","ROSSVILLE-CHARLESTON","01 ONE FAMILY HOMES",40,173334,468697,422838,1150000,2005,"ROSSVILLE-CHARLESTON"
"93","Staten Island","ROSSVILLE-CHARLESTON","02 TWO FAMILY HOMES",10,250000,553023,532500,738231,2005,"ROSSVILLE-CHARLESTON"
"94","Staten Island","ROSSVILLE-PORT MOBIL","01 ONE FAMILY HOMES",1,475000,475000,475000,475000,2005,"ROSSVILLE-PORT MOBIL"
"95","Staten Island","ROSSVILLE-RICHMOND VALLEY","01 ONE FAMILY HOMES",4,474750,569938,527500,750000,2005,"ROSSVILLE-RICHMOND VALLEY"
"96","Staten Island","ROSSVILLE-RICHMOND VALLEY","02 TWO FAMILY HOMES",5,3e+05,586538,621500,733140,2005,"ROSSVILLE-RICHMOND VALLEY"
"97","Staten Island","SILVER LAKE","01 ONE FAMILY HOMES",25,172500,577628,488000,1550000,2005,"SILVER LAKE"
"98","Staten Island","SILVER LAKE","02 TWO FAMILY HOMES",8,325000,497125,495500,725000,2005,"SILVER LAKE"
"99","Staten Island","SILVER LAKE","03 THREE FAMILY HOMES",2,445000,452500,452500,460000,2005,"SILVER LAKE"
"100","Staten Island","SOUTH BEACH","01 ONE FAMILY HOMES",154,150000,413172,407300,850000,2005,"SOUTH BEACH"
"101","Staten Island","SOUTH BEACH","02 TWO FAMILY HOMES",55,150000,536717,560037,766742,2005,"SOUTH BEACH"
"102","Staten Island","SOUTH BEACH","03 THREE FAMILY HOMES",3,485000,531667,485000,625000,2005,"SOUTH BEACH"
"103","Staten Island","STAPLETON","01 ONE FAMILY HOMES",70,157500,312043,285600,750000,2005,"STAPLETON"
"104","Staten Island","STAPLETON","02 TWO FAMILY HOMES",60,190000,357299,352500,585000,2005,"STAPLETON"
"105","Staten Island","STAPLETON","03 THREE FAMILY HOMES",9,2e+05,335389,349800,450500,2005,"STAPLETON"
"106","Staten Island","STAPLETON-CLIFTON","01 ONE FAMILY HOMES",27,233500,330949,329550,445000,2005,"STAPLETON-CLIFTON"
"107","Staten Island","STAPLETON-CLIFTON","02 TWO FAMILY HOMES",5,245000,345400,317000,495000,2005,"STAPLETON-CLIFTON"
"108","Staten Island","SUNNYSIDE","01 ONE FAMILY HOMES",36,257500,422772,410000,580903,2005,"SUNNYSIDE"
"109","Staten Island","SUNNYSIDE","02 TWO FAMILY HOMES",15,340000,538978,550000,749330,2005,"SUNNYSIDE"
"110","Staten Island","SUNNYSIDE","03 THREE FAMILY HOMES",1,220000,220000,220000,220000,2005,"SUNNYSIDE"
"111","Staten Island","TODT HILL","01 ONE FAMILY HOMES",22,4e+05,1518800,1325000,3800000,2005,"TODT HILL"
"112","Staten Island","TOMPKINSVILLE","01 ONE FAMILY HOMES",19,285000,464026,380000,930000,2005,"TOMPKINSVILLE"
"113","Staten Island","TOMPKINSVILLE","02 TWO FAMILY HOMES",15,202800,403346,424080,650000,2005,"TOMPKINSVILLE"
